Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1,Counties,New York Zip Codes,NYS Municipal Boundaries
ACCORD FIRE DISTRICT,56001,PO BOX 163,ACCORD,NY,12404,56,Ulster,8456263707,41.82392,-74.24057,"{'longitude': '-74.24057', 'latitude': '41.82392'}",2182,80,432
ADAMS CENTER FIRE DEPARTMENT,23002,13401 N MAIN STREET,ADAMS CENTER,NY,13606,23,Jefferson,3155835533,43.862577,-76.006188,"{'longitude': '-76.006188', 'latitude': '43.862577'}",2089,1470,862
ADAMS FIRE DEPARTMENT,23001,6 N MAIN ST PO BOX 52,ADAMS,NY,13605,23,Jefferson,3152324033,43.809476,-76.02401,"{'longitude': '-76.02401', 'latitude': '43.809476'}",2089,1469,862
ADAMS FIRE DEPARTMENT,32001,7113 NASH ROAD,NORTH TONAWANDA,NY,14120,32,Niagara,7166923212,43.080923,-78.865808,"{'longitude': '-78.865808', 'latitude': '43.080923'}",2131,953,143
ADDISON VOLUNTEER FIRE DEPT,51001,1 TUSCARORA STREET,ADDISON,NY,14801,51,Steuben,6073593500,42.105074,-77.234427,"{'longitude': '-77.234427', 'latitude': '42.105074'}",2178,1748,50
A E  CRANDALL HOOK AND LADDER CO,02001,8 S MAIN ST BOX 582,ALFRED,NY,14802,02,Allegany,6075878880,42.254065,-77.790323,"{'longitude': '-77.790323', 'latitude': '42.254065'}",2031,1749,477
AFTON FIRE DEPARTMENT,09001,15 SPRING STREET,AFTON,NY,13730,09,Chenango,6076391848,42.228585,-75.527079,"{'longitude': '-75.527079', 'latitude': '42.228585'}",2037,1625,280
AKRON FIRE DEPARTMENT,15001,1 MAIN ST  PO BOX 1,AKRON,NY,14001,15,Erie,7165429091,43.020082,-78.502899,"{'longitude': '-78.502899', 'latitude': '43.020082'}",2041,480,292
ALABAMA FIRE DEPARTMENT,19001,PO BOX 798,BASOM,NY,14013,19,Genesee,5859485760,43.07737,-78.39152,"{'longitude': '-78.39152', 'latitude': '43.07737'}",2086,488,798
ALBANY FIRE DEPARTMENT,01001,26 BROAD STREET,ALBANY,NY,12202-0000,01,Albany,5184477879,42.662577,-73.759898,"{'longitude': '-73.759898', 'latitude': '42.662577'}",2030,43,811
ALBERTSON FIRE DEPARTMENT,30001,100 I U WILLETS ROAD,ALBERTSON,NY,11507,30,Nassau,5162487182,40.770362,-73.652689,"{'longitude': '-73.652689', 'latitude': '40.770362'}",2094,1266,67
